Region,1990,1995,2000,2005,2010,2015,2020
Sub-Saharan Africa,13 286 341,14 275 437,13 151 229,14 290 369,15 854 637,20 721 874,22 221 538
Northern Africa and Western Asia,17 608 769,18 912 064,20 321 397,23 165 804,32 638 434,42 036 092,49 767 746
Central and Southern Asia,26 168 623,21 247 814,20 139 825,18 854 544,19 676 783,19 266 265,19 427 576
Eastern and South-Eastern Asia,6 835 882,8 339 806,10 506 212,12 979 157,15 760 463,18 027 810,19 591 106
Latin America and the Caribbean,7 135 971,6 661 553,6 539 738,7 184 113,8 326 588,9 441 503,14 794 623
Oceania, 258 678, 280 580, 296 618, 306 039, 298 175, 302 810, 313 069
Australia and New Zealand,4 473 260,4 741 947,5 065 063,5 717 982,6 830 423,7 769 466,9 067 584
Europe and Northern America,77 218 633,86 830 775,97 210 503,108 948 820,121 597 684,130 392 824,145 414 863
