"Major area, region, country or area of destination",Notes,Code,Type of data (a),Estimated refugee stock (including asylum seekers) at mid-year (both sexes),,,,,,
Kuwait,,414,C R,30000,3306,2776,1523,184,1641,1695
Lebanon,,422,B R,305499,342697,379894,421239,462584,1592607,1558615
Oman,,512,C,0,0,0,7,78,435,701
Qatar,,634,C,0,0,35,74,67,238,272
Saudi Arabia,,682,C R,33261,13169,5480,240913,669,157,210
State of Palestine,8,275,B,910637,1159134,1407631,1681550,1955469,2051096,2214783
Syrian Arab Republic,,760,C R,282794,363644,390811,455945,1483993,590438,589358
Turkey,,792,B R,30534,12841,3103,2399,10032,2753760,3787207
United Arab Emirates,,784,C R,433,407,897,183,624,1084,2751
Yemen,,887,CR,41534,53453,61956,82735,192649,277039,280656
CENTRAL AND SOUTHERN ASIA,,921,,7011227,3712870,4277031,2518831,3499008,3435870,3619513
Central Asia,,5500,,3000,55538,101526,67968,12892,3707,4235
Kazakhstan,,398,B,..,15561,20579,7330,4720,805,807
Kyrgyzstan,,417,B,..,13407,10995,3096,3012,512,430
Tajikistan,,762,B,3000,620,15597,1040,4787,2257,2956
Turkmenistan,,795,B,..,23323,14757,11965,62,26,22
Uzbekistan,,860,B,..,2627,39598,44537,311,107,20
Southern Asia,,5501,,7008227,3657332,4175505,2450863,3486116,3432163,3615278
Afghanistan,,4,B,25,19605,0,32,6434,407953,76146
Bangladesh,,50,B R,73,10996,21919,125586,229253,232584,932334
Bhutan,,64,B,0,0,0,0,0,0,0
India,,356,B R,212743,227480,171000,139586,188567,207861,207619
Iran (Islamic Republic of),,364,B R,3512201,2071988,1851844,974302,1073366,982085,979519
Maldives,,462,C,0,0,0,0,0,0,0
Nepal,,524,B R,17325,124754,129237,126436,87514,32684,21607
Pakistan,,586,B R,3265845,1202493,2001466,1084694,1900621,1567604,1396619
Sri Lanka,,144,B R,15,16,39,227,361,1392,1434
EASTERN AND SOUTH-EASTERN ASIA,,1832,,460736,466010,612677,465074,497535,628284,644936
Eastern Asia,,906,,302759,300610,298488,300444,304809,326732,367613
China,9,156,C,285788,289747,293705,297346,300986,301052,322383
"China, Hong Kong SAR",10,344,B,10092,5536,979,567,154,2448,103
"China, Macao SAR",11,446,B,0,0,0,0,0,7,5
Dem. People's Republic of Korea,,408,I,0,0,0,0,0,0,0
Japan,,392,C,6649,5322,3752,1941,2586,16305,33395
Mongolia,,496,C,0,0,0,2,13,15,0
Republic of Korea,,410,C,230,5,52,588,1070,6905,11727
South-Eastern Asia,,920,,157977,165400,314189,164630,192726,301552,277323
Brunei Darussalam,,96,B,0,0,0,0,0,0,0
Cambodia,,116,B,0,15,34,130,129,104,114
Indonesia,,360,B R,2138,202,142562,405,811,13548,13789
Lao People's Democratic Republic,,418,C R,0,0,0,0,0,0,0
Malaysia,12,458,C R,14862,23323,50487,44531,92855,154581,151291
Myanmar,,104,C,0,0,0,0,0,1,0
Philippines,,608,C R,19860,783,196,138,316,479,672
Singapore,,702,B,146,112,0,3,7,1,0
Thailand,,764,B R,99821,106565,104965,117053,96675,132838,111457
Timor-Leste,,626,B,..,..,..,13,5,0,0
Viet Nam,,704,C R,21150,34400,15945,2357,1928,0,0
LATIN AMERICA AND THE CARIBBEAN,,1830,,1197274,352309,44176,53436,394300,415459,607263
Caribbean,,915,,6632,3532,1612,1370,3566,3513,12138
Anguilla,,660,B,0,0,0,0,0,0,1
Antigua and Barbuda,,28,B,0,0,0,0,0,16,2
Aruba,,533,B,0,0,0,0,0,2,17
Bahamas,,44,B,0,50,100,64,28,94,18
Barbados,,52,B,0,0,0,0,0,0,0
British Virgin Islands,,92,B,0,0,0,1,2,0,0
"Bonaire, Sint Eustatius and Saba",13,535,B,0,0,0,0,0,0,0
Cayman Islands,,136,C,0,0,0,1,1,19,55
Cuba,,192,B,3989,2475,961,686,411,328,347
Curaçao,,531,B,..,..,..,..,6,78,803
Dominica,,212,B,0,0,0,0,2345,1373,1424
Dominican Republic,,214,B,2643,985,510,584,599,1373,1450
Grenada,,308,B,0,0,0,0,0,0,0
Guadeloupe,14,312,B,0,0,0,0,0,0,0
Haiti,,332,B,0,0,0,0,0,3,3
Jamaica,,388,B,0,19,38,30,21,19,16
Martinique,,474,B,0,0,0,0,0,0,0
Montserrat,,500,B,0,0,0,0,14,0,0
Puerto Rico,,630,B,0,0,0,0,0,0,0
Saint Kitts and Nevis,,659,B,0,0,0,0,0,0,0
Saint Lucia,,662,B,0,3,3,3,7,2,0
Saint Vincent and the Grenadines,,670,B,0,0,0,0,0,0,0
Sint Maarten (Dutch part),,534,B,..,..,..,1,1,11,8
Trinidad and Tobago,,780,B,0,0,0,0,131,195,7994
Turks and Caicos Islands,,796,B,0,0,0,0,0,0,0
United States Virgin Islands,,850,B,0,0,0,0,0,0,0
Central America,,916,,1162216,313977,37295,26083,38361,51728,45366
Belize,,84,B R ,30404,8750,9812,624,134,814,3126
Costa Rica,,188,B R,277505,24226,6608,11253,19505,6899,11944
El Salvador,,222,B R,20515,10279,42,40,38,35,30
Guatemala,,320,B R,223239,111983,726,432,138,3851,388
Honduras,,340,B R,237144,118578,11,13,14,26,28
Mexico,,484,B R,356454,38717,18451,3229,1395,19385,19385
Nicaragua,,558,B R,15605,577,332,227,64,462,736
Panama,,591,B,1350,867,1313,10265,17073,20256,9729
South America,,931,,28426,34800,5269,25983,352373,360218,549759
Argentina,,32,B,12185,7278,2371,2824,4223,4285,7515
Bolivia (Plurinational State of),,68,B,235,685,354,538,736,756,775
Brazil,,76,B,5333,19605,0,3653,5157,35786,96010
Chile,,152,B,179,262,344,983,1621,2913,10346
Colombia,,170,B,580,408,235,224,212,6899,8390
Ecuador,,218,B R,634,796,958,10063,121249,133118,104185
