Country,year,value,lastValue
Nepal,2010,1712736,1289780
Nepal,2015,2270161,1712736
Nepal,2020,2599675,2270161
Sudan,1990,629834,0
Sudan,1995,835099,629834
Sudan,2000,959298,835099
Sudan,2005,1563269,959298
Sudan,2010,1551145,1563269
Sudan,2015,2185507,1551145
Sudan,2020,2499895,2185507
France,1990,1285938,0
France,1995,1431469,1285938
France,2000,1640520,1431469
France,2005,1807049,1640520
France,2010,2047749,1807049
France,2015,2223925,2047749
France,2020,2451886,2223925
Republic of Korea,1990,1518003,0
Republic of Korea,1995,1699048,1518003
Republic of Korea,2000,1880101,1699048
Republic of Korea,2005,1979001,1880101
Republic of Korea,2010,2255918,1979001
Republic of Korea,2015,2155634,2255918
Republic of Korea,2020,2207557,2155634
Iraq,1990,642791,0
Iraq,1995,752516,642791
Iraq,2000,828346,752516
Iraq,2005,1340508,828346
Iraq,2010,2554797,1340508
Iraq,2015,1675443,2554797
Iraq,2020,2077779,1675443
Portugal,1990,1858690,0
Portugal,1995,1911152,1858690
Portugal,2000,1982693,1911152
Portugal,2005,1725347,1982693
Portugal,2010,1917504,1725347
Portugal,2015,1969150,1917504
Portugal,2020,2076385,1969150
Democratic Republic of the Congo,1990,524576,0
Democratic Republic of the Congo,1995,702406,524576
Democratic Republic of the Congo,2000,1086195,702406
Democratic Republic of the Congo,2005,1399120,1086195
Democratic Republic of the Congo,2010,1575561,1399120
Democratic Republic of the Congo,2015,1762607,1575561
Democratic Republic of the Congo,2020,2060151,1762607
Uzbekistan,1990,1427980,0
Uzbekistan,1995,1515731,1427980
Uzbekistan,2000,1575965,1515731
Uzbekistan,2005,1730224,1575965
Uzbekistan,2010,1888942,1730224
Uzbekistan,2015,1976024,1888942
Uzbekistan,2020,2027823,1976024
Algeria,1990,922469,0
Algeria,1995,980711,922469
Algeria,2000,1039240,980711
Algeria,2005,1600924,1039240
Algeria,2010,1656457,1600924
Algeria,2015,1837406,1656457
Algeria,2020,2023210,1837406
Somalia,1990,844822,0
Somalia,1995,966082,844822
Somalia,2000,999826,966082
Somalia,2005,1050629,999826
Somalia,2010,1566139,1050629
Somalia,2015,1931555,1566139
Somalia,2020,1975730,1931555
Sri Lanka,1990,882839,0
Sri Lanka,1995,923050,882839
Sri Lanka,2000,978767,923050
Sri Lanka,2005,1151101,978767
Sri Lanka,2010,1453793,1151101
Sri Lanka,2015,1655349,1453793
Sri Lanka,2020,1959051,1655349
Brazil,1990,490380,0
Brazil,1995,729531,490380
Brazil,2000,939225,729531
Brazil,2005,1192953,939225
Brazil,2010,1493043,1192953
Brazil,2015,1501186,1493043
Brazil,2020,1893593,1501186
Malaysia,1990,559712,0
Malaysia,1995,860903,559712
Malaysia,2000,1200966,860903
Malaysia,2005,1379012,1200966
Malaysia,2010,1598523,1379012
Malaysia,2015,1780281,1598523
Malaysia,2020,1859124,1780281
Puerto Rico,1990,1201362,0
Puerto Rico,1995,1406946,1201362
Puerto Rico,2000,1601664,1406946
Puerto Rico,2005,1643488,1601664
Puerto Rico,2010,1736751,1643488
Puerto Rico,2015,1720678,1736751
Puerto Rico,2020,1855623,1720678
Bosnia and Herzegovina,1990,861613,0
Bosnia and Herzegovina,1995,1372435,861613
Bosnia and Herzegovina,2000,1496612,1372435
Bosnia and Herzegovina,2005,1500924,1496612
Bosnia and Herzegovina,2010,1572762,1500924
Bosnia and Herzegovina,2015,1593220,1572762
Bosnia and Herzegovina,2020,1687396,1593220
Burkina Faso,1990,1023492,0
Burkina Faso,1995,1218556,1023492
Burkina Faso,2000,1283030,1218556
Burkina Faso,2005,1356232,1283030
Burkina Faso,2010,1439095,1356232
Burkina Faso,2015,1524954,1439095
Burkina Faso,2020,1606371,1524954
El Salvador,1990,1241849,0
El Salvador,1995,933103,1241849
El Salvador,2000,949042,933103
El Salvador,2005,1118793,949042
El Salvador,2010,1337085,1118793
El Salvador,2015,1512895,1337085
El Salvador,2020,1599058,1512895
