Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ethiopia,ETH,12175166763,13463868357,10492993078,8830712714,6927950565,7663984568,8547939731,8589211390,7818224906,7700833482,8242392104,8231326016,7850809498,8623691300,10131187261,12401139454,15280861835,19707616773,27066912635,32437389116,29933790334,31952763089,43310721414,47648211133,55612228234,64589334979,74296618481,81770791971,84269348327,95912590628
France,FRA,1.26918E+12,1.26928E+12,1.40147E+12,1.32282E+12,1.39398E+12,1.60109E+12,1.60568E+12,1.45288E+12,1.50311E+12,1.49265E+12,1.36225E+12,1.37647E+12,1.49429E+12,1.84048E+12,2.11574E+12,2.19613E+12,2.31859E+12,2.65721E+12,2.91838E+12,2.69022E+12,2.64261E+12,2.86141E+12,2.68383E+12,2.81108E+12,2.85217E+12,2.43821E+12,2.47129E+12,2.59515E+12,2.78786E+12,2.71552E+12
United Kingdom,GBR,1.09317E+12,1.1428E+12,1.17966E+12,1.06139E+12,1.14049E+12,1.34158E+12,1.41536E+12,1.55908E+12,1.65017E+12,1.6824E+12,1.65782E+12,1.64025E+12,1.78447E+12,2.05302E+12,2.41693E+12,2.53868E+12,2.71375E+12,3.10088E+12,2.92267E+12,2.41091E+12,2.47524E+12,2.65931E+12,2.70489E+12,2.78602E+12,3.0638E+12,2.92859E+12,2.69428E+12,2.66623E+12,2.86067E+12,2.82911E+12
Georgia,GEO,7753501868,6357615894,3690328964,2701181331,2513870587,2693731866,3094935187,3510520231,3613498175,2800026339,3057475289,3219488664,3395728014,3991284895,5125365192,6410823633,7745394293,10172882371,12795076469,10766836277,12243505583,15107441447,16488403076,17189551521,17627003455,14953950557,15141758567,16242916916,17599700091,17477255546
Greece,GRC,97891092003,1.05143E+11,1.16225E+11,1.08809E+11,1.16602E+11,1.36878E+11,1.45862E+11,1.43158E+11,1.44428E+11,1.42541E+11,1.30134E+11,1.36191E+11,1.53831E+11,2.01924E+11,2.40521E+11,2.47783E+11,2.73318E+11,3.18498E+11,3.54461E+11,3.3E+11,2.99362E+11,2.87798E+11,2.45671E+11,2.39862E+11,2.3703E+11,1.96591E+11,1.95222E+11,2.03588E+11,2.18138E+11,2.09853E+11
Haiti,HTI,3096289800,3473540602,2257121668,1878248741,2167564195,2813313279,2907514523,3338938830,3723909227,4153736347,6868666120,6364908100,6106867934,5000238129,6005401730,7049954289,7408787819,9315973989,10386485528,11269821159,11661585823,13008748132,13708931890,14498080023,14790765760,14857386164,13723267961,14213814583,15965670198,14332163266
Indonesia,IDN,1.06141E+11,1.16622E+11,1.28027E+11,1.58007E+11,1.76892E+11,2.02132E+11,2.2737E+11,2.15749E+11,95445547873,1.40001E+11,1.65021E+11,1.60447E+11,1.95661E+11,2.34772E+11,2.56837E+11,2.85869E+11,3.64571E+11,4.32217E+11,5.10229E+11,5.3958E+11,7.55094E+11,8.92969E+11,9.1787E+11,9.12524E+11,8.90815E+11,8.60854E+11,9.31877E+11,1.01562E+12,1.04224E+12,1.11919E+12
India,IND,3.20979E+11,2.70105E+11,2.88208E+11,2.79296E+11,3.27276E+11,3.60282E+11,3.92897E+11,4.15868E+11,4.21351E+11,4.5882E+11,4.68395E+11,4.85441E+11,5.14938E+11,6.07699E+11,7.09149E+11,8.20382E+11,9.4026E+11,1.21674E+12,1.1989E+12,1.34189E+12,1.67562E+12,1.82305E+12,1.82764E+12,1.85672E+12,2.03913E+12,2.10359E+12,2.2948E+12,2.65275E+12,2.71317E+12,2.86893E+12
Ireland,IRL,49364680214,49847127646,55985504489,52480251192,57166035336,69222625000,75880630040,82826141356,90082052260,98692079693,99852958356,1.09135E+11,1.2795E+11,1.64285E+11,1.93871E+11,2.11649E+11,2.32083E+11,2.69918E+11,2.75039E+11,2.36316E+11,2.22149E+11,2.37472E+11,2.24999E+11,2.38544E+11,2.58472E+11,2.915E+11,3.00523E+11,3.35663E+11,3.82674E+11,3.88699E+11
Italy,ITA,1.18122E+12,1.24622E+12,1.32016E+12,1.06496E+12,1.09922E+12,1.17466E+12,1.31243E+12,1.24188E+12,1.27005E+12,1.25202E+12,1.14383E+12,1.16701E+12,1.27071E+12,1.57415E+12,1.80323E+12,1.85752E+12,1.94792E+12,2.21029E+12,2.39886E+12,2.19124E+12,2.13402E+12,2.29199E+12,2.08708E+12,2.14132E+12,2.15913E+12,1.8359E+12,1.8758E+12,1.9618E+12,2.09154E+12,2.00358E+12
