Country Name,Country Code,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cuba,CUB,GDP per capita (current US$),2703.168039,2278.20868,2057.103404,2073.094865,2624.756793,2794.737268,2286.927382,2308.146195,2331.465648,2558.904794,2747.098575,2837.738018,2999.245244,3197.133754,3395.71205,3786.664795,4683.566155,5208.716073,5411.271418,5529.67036,5730.354775,6139.71933,6497.321113,6837.712892,7133.342095,7694.01192,8060.795886,8541.210673,8821.818891,8821.819
Germany,DEU,GDP per capita (current US$),22303.96133,23357.75773,26438.23039,25522.62957,27076.60675,31658.34938,30485.86655,26964.04947,27289.05936,26725.91522,23635.92922,23607.88286,25077.72908,30243.57653,34044.05363,34507.36881,36323.44774,41587.2129,45427.15168,41485.90165,41531.9342,46644.77603,43858.36306,46285.76407,47959.99327,41086.72967,42107.51727,44552.81937,47810.50767,46445.2491
Dominican Republic,DOM,GDP per capita (current US$),991.6144241,1338.896045,1532.903224,1733.400455,1908.484755,2122.797665,2293.755246,2476.113441,2638.349479,2653.344012,2869.105861,2977.433818,3110.32509,2418.350422,2487.329061,3932.786568,4109.031363,4707.792532,5087.985365,5039.402596,5555.389722,5913.432072,6110.369652,6238.133608,6608.828102,6921.517228,7280.880109,7609.3388,8050.63044,8282.116359
Algeria,DZA,GDP per capita (current US$),2408.688815,1731.611274,1776.036674,1807.328548,1507.865318,1452.269445,1603.937921,1619.806224,1596.003714,1588.346522,1765.022198,1740.607011,1781.825546,2103.381822,2609.952823,3113.095331,3478.710929,3946.664452,4923.843185,3883.132425,4479.34172,5462.260897,5591.212353,5498.784095,5494.352336,4187.509727,3945.482081,4111.29411,4153.733978,3973.964072
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),765.6420464,651.0775817,713.4525239,777.8577091,849.4524991,965.11073,1063.333095,1208.719901,1281.39672,1343.551963,1450.476242,1378.203403,1191.103255,1102.468275,1062.158092,1186.393423,1397.436817,1667.317955,2044.527855,2331.268582,2645.969047,2791.810799,3229.68563,3262.658029,3379.55851,3562.932735,3519.873203,2444.290311,2537.125365,3019.205829
Spain,ESP,GDP per capita (current US$),13804.87679,14811.90282,16112.18892,13339.90856,13415.287,15471.96272,16109.0844,14730.79718,15394.35146,15715.33227,14713.06571,15355.70317,17025.53198,21463.44266,24861.2828,26419.29686,28365.31349,32549.97098,35366.2596,32042.47408,30502.71971,31636.44631,28324.42934,29059.54795,29461.55033,25732.01836,26505.34322,28170.16786,30389.36099,29600.37825
France,FRA,GDP per capita (current US$),21793.84265,21675.06425,23813.71184,22380.10396,23496.52332,26890.21988,26871.82902,24228.94235,24974.2722,24673.19897,22364.02939,22433.55571,24177.33517,29568.38595,33741.26515,34760.18777,36443.62344,41508.43399,45334.11444,41575.41875,40638.334,43790.73205,40874.70351,42592.93409,43011.2631,36638.18493,37037.37419,38812.16103,41631.09074,40493.92857
United Kingdom,GBR,GDP per capita (current US$),19095.467,19900.72665,20487.17079,18389.01957,19709.2381,23123.17779,24332.69777,26734.56261,28214.27436,28669.53969,28149.87001,27744.50646,30056.58622,34419.14791,40290.31397,42030.28661,44599.69757,50566.8266,47286.99849,38713.13743,39435.8399,42038.57225,42462.77157,43444.533,47425.60768,44974.83188,41064.13343,40361.41738,43043.22782,42330.11754
Guatemala,GTM,GDP per capita (current US$),845.3069621,1011.754966,1093.962908,1164.374025,1293.470198,1424.682543,1487.607658,1649.001602,1755.849582,1619.510736,1664.298958,1575.428557,1710.341468,1765.351677,1889.691824,2101.541818,2287.935715,2531.20608,2848.50316,2695.221264,2898.942215,3281.667502,3408.784916,3522.773698,3779.642319,3994.636913,4173.301666,4451.450981,4472.892371,4619.985258
Haiti,HTI,GDP per capita (current US$),439.944063,483.873905,308.3713132,251.752719,285.1187788,363.2658259,368.6322377,415.7704833,455.5418961,499.3037489,811.5339742,739.347418,697.5969036,561.8179438,663.7946963,766.6920589,792.8259258,981.1113412,1076.701331,1150.211089,1172.098543,1287.954058,1337.335431,1393.955951,1402.100156,1389.11952,1265.987633,1294.239746,1435.351756,1272.490925
